"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouch-mobile-site-fz5pc.kinsta.page/images/icons/facebook.svg","Facebook","8","Root-Relative","//body/section[@class='section-lg']/div/div/div[@class='contact-info-section']/div[@class='contact-social']/div/a[@class='social-icon'][1]/img","Content","HTML","","",""
"Image","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouch-mobile-site-fz5pc.kinsta.page/images/icons/instagram.svg","Instagram","9","Root-Relative","//body/section[@class='section-lg']/div/div/div[@class='contact-info-section']/div[@class='contact-social']/div/a[@class='social-icon'][2]/img","Content","HTML","","",""
