"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/virginia/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/georgia/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/rhode-island/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/nebraska/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/wyoming/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/new-mexico/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/kansas/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/north-carolina/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/minnesota/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/delaware/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/ohio/","Non-Indexable","Canonicalised","2","","2","2","0","1.790","24","12","0","11","8","0"
